box_12a_code	box_12b_code	box_12c_code	box_12d_code	box_15_1_state	box_15_2_state	box_1_wages	box_3_social_security_wages	box_4_social_security_tax_withheld	box_5_medicare_wages	box_6_medicare_wages_tax_withheld	box_7_social_security_tips	box_8_allocated_tips	box_10_dependent_care_benefits	box_11_nonqualified_plans	box_12a_value	box_12b_value	box_12c_value	box_12d_value	box_13_statutary_employee	box_13_retirement_plan	box_13_third_part_sick_pay	box_16_1_state_wages	box_17_1_state_income_tax	box_18_1_local_wages	box_19_1_local_income_tax	box_16_2_state_wages	box_17_2_state_income_tax	box_18_2_local_wages	box_19_2_local_income_tax	box_2_federal_tax_withheld	anomaly_consensus	cluster	box_15_1_state
E	E	E	None	NC	UT	141194.15	169708.96	12982.74	181642.61	5267.64	169708.96	181642.61	220	158	8604	641	333	775	0	0	0	64971.88	7258.57	149192.1	15907.5	76900.7	6670.94	99940.24	15871.27	37276.89	False	5	NC
D	None	None	E	SC	CT	177856.29	197623.14	15118.17	212875.46	6173.39	197623.14	212875.46	297	186	8828	246	478	153	0	1	0	95662.66	5075.61	128884.24	26310.02	90577.93	4375.04	215991.15	19707.87	33668.13	False	0	SC
E	None	H	E	AL	NM	238111.55	309486.28	23675.7	205695.97	5965.18	309486.28	205695.97	198	157	7053	705	682	399	0	0	0	121453.85	6858.46	287711.19	46607.9	120041.89	9397.15	301013.17	24688.05	71007.86	True	3	AL
P	D	P	None	AR	TX	172580.36	181555.13	13888.97	183423.78	5319.29	181555.13	183423.78	142	121	2463	141	667	875	0	0	0	93302.6	8216.98	201665.8	20341.98	94277.34	9201.9	201819.69	26836.99	39849.36	False	5	AR
G	None	H	G	NE	TX	148670.26	113454.73	8679.29	115304.28	3343.82	113454.73	115304.28	289	151	4825	103	805	405	1	1	1	67691.66	7191.07	119538.03	25871.04	70825.54	5460.23	147457.42	20858.73	35079.14	False	4	NE
P	None	G	E	SC	IN	66681.82	76023.06	5815.76	65670.82	1904.45	76023.06	65670.82	206	277	8423	752	310	533	0	0	0	35440.26	1757.64	84084.14	10559.08	31987.27	1514.81	63227.1	7034.0	11117.25	False	1	SC
H	G	G	G	CA	AL	76490.81	68631.93	5250.34	75814.97	2198.63	68631.93	75814.97	138	225	1952	525	105	194	0	1	0	36118.78	3459.94	65626.41	8164.66	39009.24	2360.17	91835.37	11039.55	21241.26	False	1	CA
None	G	H	D	NY	HI	238779.02	235946.41	18049.9	307667.95	8922.37	235946.41	307667.95	184	288	4582	182	421	150	0	1	0	113823.64	12004.72	286887.99	45449.8	124359.17	12211.53	218407.71	29252.68	74013.04	True	3	NY
G	G	D	None	MI	OR	87954.44	96821.0	7406.81	106503.85	3088.61	96821.0	106503.85	242	133	7273	336	678	323	1	0	1	47284.78	3082.68	63484.18	12930.68	46936.6	3419.39	81913.98	9918.4	13443.34	False	1	MI
None	E	P	H	OR	GA	193366.79	149131.36	11408.55	229250.86	6648.27	149131.36	229250.86	119	186	3445	650	249	660	0	1	0	91101.51	3494.36	165473.61	33042.76	104274.68	4830.55	184642.75	34773.33	40590.66	False	5	OR
D	P	E	None	SC	TN	88843.39	106688.94	8161.7	65029.62	1885.86	106688.94	65029.62	190	168	1023	145	993	513	0	0	1	40248.03	3561.34	71257.9	9479.46	46063.55	5096.1	94435.07	9009.4	14552.85	False	1	SC
D	G	None	E	KS	MD	167580.53	153933.15	11775.89	140168.98	4064.9	153933.15	140168.98	178	176	8533	227	417	724	0	1	0	82695.75	7099.85	136876.31	25592.06	88289.79	9649.48	202897.35	21485.95	55642.99	False	4	KS
G	H	D	P	ID	ND	111936.24	81558.94	6239.26	117316.58	3402.18	81558.94	117316.58	118	223	7987	637	659	329	0	1	0	55490.06	2865.81	108933.7	17178.2	56966.51	2700.51	82216.04	21336.44	37513.05	False	1	ID
H	P	P	D	PA	OR	195457.31	245014.11	18743.58	142709.26	4138.57	245014.11	142709.26	278	214	5088	498	951	415	0	0	0	96566.01	5170.02	234268.15	19955.89	89793.77	5955.83	227887.78	31720.88	60643.19	False	5	PA
G	P	None	None	MN	WA	147184.56	189678.23	14510.38	108019.73	3132.57	189678.23	108019.73	183	104	6696	263	407	673	1	1	0	70600.89	5456.67	124135.61	23521.94	75144.22	5599.85	151808.4	26960.6	40795.72	False	2	MN
H	None	H	None	MS	IL	90590.41	84439.19	6459.6	68005.26	1972.15	84439.19	68005.26	267	133	1526	531	994	724	0	0	0	42889.16	2429.1	75295.5	12178.6	46637.22	2547.36	63955.97	11461.16	28590.11	False	1	MS
G	E	D	D	AK	OK	120499.7	145884.85	11160.19	88203.43	2557.9	145884.85	88203.43	194	202	4801	566	543	929	1	0	1	57273.85	1989.95	121541.1	13078.42	63715.39	2109.9	116392.34	15341.16	40398.5	False	4	AK
None	H	D	D	TX	IN	162121.73	180927.2	13840.93	169854.26	4925.77	180927.2	169854.26	203	255	1751	864	205	870	0	0	1	79626.73	6960.02	142507.59	20497.13	79285.24	6577.17	194170.4	25959.5	32611.02	False	4	TX
E	E	None	H	MA	AL	165126.9	137415.39	10512.28	171948.93	4986.52	137415.39	171948.93	299	244	4926	279	256	321	0	1	1	82616.19	3835.21	190545.52	16908.97	87151.49	4472.15	122529.22	23895.95	51124.8	False	4	MA
G	D	None	H	ME	MI	78677.85	66388.39	5078.71	67440.33	1955.77	66388.39	67440.33	290	191	1796	763	639	448	1	1	0	40453.22	3005.85	92715.13	14126.11	40611.79	2658.56	58079.61	14398.33	16785.29	False	1	ME
P	None	D	P	IA	SD	231855.16	178955.49	13690.09	290656.59	8429.04	178955.49	290656.59	245	185	9723	731	934	593	0	0	0	117984.43	9816.43	189550.05	44796.82	104509.8	9128.46	207092.82	23393.87	42224.06	True	3	IA
G	G	H	None	MT	MD	88738.07	77849.65	5955.5	68215.11	1978.24	77849.65	68215.11	280	101	6981	246	491	166	0	1	0	43669.96	2739.07	73123.7	13574.78	48029.63	3623.95	105497.15	15417.82	17050.11	False	1	MT
None	P	E	None	ND	GA	96821.73	106992.67	8184.94	118244.54	3429.09	106992.67	118244.54	239	242	8757	729	268	310	0	0	1	51350.96	2813.58	73062.11	13117.39	44970.71	2171.04	73135.24	10994.07	12150.95	False	1	ND
D	P	G	H	KY	WI	123146.71	157308.31	12034.09	126959.7	3681.83	157308.31	126959.7	232	284	2405	555	393	832	0	0	1	57053.43	4350.76	89866.28	24033.39	66765.43	4594.1	127916.62	16648.53	23098.12	False	4	KY
G	D	G	None	AK	AZ	80711.61	61054.22	4670.65	60978.2	1768.37	61054.22	60978.2	281	150	3679	211	430	464	1	0	1	38582.29	4091.36	61891.35	11286.82	44028.79	3920.09	101769.78	10145.81	8908.49	False	1	AK
G	H	D	D	HI	RI	70646.03	84438.52	6459.55	63939.77	1854.25	84438.52	63939.77	266	227	5598	885	985	968	1	0	0	37671.72	2911.82	53884.98	10285.59	33282.17	3372.4	60126.75	8491.3	25265.03	False	1	HI
None	None	H	G	CO	NJ	125258.15	128479.27	9828.66	139001.03	4031.03	128479.27	139001.03	204	162	7639	112	379	130	0	0	0	61653.28	5996.0	113013.59	18703.46	62532.13	7810.74	88143.37	17971.14	42018.36	False	4	CO
E	None	None	H	NH	AZ	79733.08	96413.67	7375.65	88227.83	2558.61	96413.67	88227.83	254	159	3261	132	941	640	0	0	0	41628.41	3734.77	90007.18	8488.36	38801.76	5199.23	78859.77	9589.89	16620.87	False	1	NH
G	D	None	G	HI	HI	165517.94	123289.28	9431.63	207347.14	6013.07	123289.28	207347.14	239	197	6368	847	647	197	0	1	0	74903.55	2976.14	127709.94	18770.81	80196.23	3323.54	196190.69	25664.09	24088.77	False	4	HI
G	E	P	None	IN	NM	230691.99	257603.81	19706.69	201181.63	5834.27	257603.81	201181.63	230	261	4621	142	360	951	0	1	0	113674.99	10886.33	297712.28	26692.14	116695.11	12756.92	198826.02	26028.46	63087.75	False	3	IN
D	None	D	E	MD	AR	195437.7	148440.07	11355.67	151002.49	4379.07	148440.07	151002.49	284	186	1388	866	363	434	0	0	0	88766.55	6360.26	175748.74	35453.32	105427.22	6868.59	176844.34	31776.33	34677.46	False	3	MD
None	None	None	D	NH	IA	212927.85	191296.66	14634.19	240404.85	6971.74	191296.66	240404.85	152	161	1035	240	705	235	0	0	0	114845.97	13802.8	182795.57	30523.54	96527.12	10830.41	270129.93	23219.25	52702.17	False	3	NH
E	P	None	G	LA	CA	182367.32	187482.4	14342.4	235026.75	6815.78	187482.4	235026.75	257	242	1635	710	134	814	0	1	0	92941.11	4038.13	156323.2	32254.47	97801.13	4809.44	173283.13	32150.86	49345.36	False	3	LA
E	G	G	G	OH	NM	158593.38	189445.07	14492.55	206011.37	5974.33	189445.07	206011.37	241	269	7503	588	124	195	1	0	1	74400.25	5514.46	146016.83	26502.55	76253.4	7324.01	129144.3	26658.66	40427.95	False	4	OH
P	H	H	D	MS	WV	118587.23	131868.91	10087.97	142270.31	4125.84	131868.91	142270.31	204	152	9393	617	241	194	1	1	0	59336.75	3941.8	106697.83	22117.53	64391.06	3471.52	94534.43	14479.38	14056.13	False	4	MS
G	G	None	G	TN	OK	203445.49	220811.27	16892.06	178289.66	5170.4	220811.27	178289.66	212	157	8686	910	265	622	0	0	1	107018.93	7756.82	178820.7	23179.4	108823.53	8233.48	186147.81	36375.82	45138.79	False	3	TN
D	D	None	None	PA	HI	236463.51	196232.29	15011.77	203719.17	5907.86	196232.29	203719.17	147	189	9594	898	717	851	0	1	0	107414.57	9986.89	175105.7	28295.12	120880.51	12810.04	261822.77	27889.77	66194.17	True	3	PA
P	D	P	None	NV	IL	143904.09	107384.5	8214.91	110212.78	3196.17	107384.5	110212.78	267	147	5278	100	307	408	0	0	0	71749.21	5092.26	174882.72	26724.81	66810.52	3398.62	131612.39	23061.69	40340.28	False	4	NV
H	P	None	None	MT	DC	136578.06	95918.37	7337.76	176566.18	5120.42	95918.37	176566.18	103	113	2078	508	530	744	0	1	0	64692.21	4900.16	119553.81	27125.75	66000.44	4088.56	117410.41	18093.56	26040.33	False	4	MT
None	H	None	None	MN	HI	202355.38	208371.66	15940.43	181013.29	5249.39	208371.66	181013.29	197	124	5109	171	971	515	0	0	1	111237.63	4362.29	205934.29	34290.15	101894.7	3196.55	235117.97	27083.84	28737.63	False	5	MN
